department_id,department_name_ko,hclust_average_k2_refined_weighted,hclust_average_k3_refined_weighted,hclust_average_k4_refined_weighted,hclust_average_k5_refined_weighted,hclust_average_k6_refined_weighted,hclust_average_k7_refined_weighted,hclust_average_k8_refined_weighted,hclust_complete_k2_refined_weighted,hclust_complete_k3_refined_weighted,hclust_complete_k4_refined_weighted,hclust_complete_k5_refined_weighted,hclust_complete_k6_refined_weighted,hclust_complete_k7_refined_weighted,hclust_complete_k8_refined_weighted,hclust_average_k2_refined_binary,hclust_average_k3_refined_binary,hclust_average_k4_refined_binary,hclust_average_k5_refined_binary,hclust_average_k6_refined_binary,hclust_average_k7_refined_binary,hclust_average_k8_refined_binary,kmeans_k2_refined_weighted,kmeans_k3_refined_weighted,kmeans_k4_refined_weighted,kmeans_k5_refined_weighted,kmeans_k6_refined_weighted,kmeans_k7_refined_weighted,kmeans_k8_refined_weighted,kmeans_k2_refined_binary,kmeans_k3_refined_binary,kmeans_k4_refined_binary,kmeans_k5_refined_binary,kmeans_k6_refined_binary,kmeans_k7_refined_binary,kmeans_k8_refined_binary
D01,건축학과,2,2,3,4,5,6,7,2,2,3,4,5,6,7,2,2,3,4,5,6,7,2,3,3,4,1,4,8,2,3,3,4,2,1,8
D02,국어국문학과,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,1,2,2,2,3,2,2
D03,심리학과,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,1,2,2,2,3,2,2
D04,기계공학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D05,화학과,2,2,3,4,5,6,7,2,2,3,4,5,6,7,2,2,3,4,5,6,7,2,3,3,4,1,4,8,2,3,3,4,2,1,8
D06,산업공학과,2,2,3,3,4,4,4,2,2,2,3,3,4,4,2,2,3,3,4,4,4,2,2,4,5,3,5,3,2,1,4,5,5,4,5
D07,신소재공학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D08,조선해양공학과,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,2,1,3,5,6,7,2,1,1,3,1,5,6
D09,의예과,2,2,3,4,5,5,6,2,2,3,4,5,6,6,2,2,3,4,5,5,6,2,2,1,1,6,7,4,2,3,1,1,4,3,1
D10,수학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D11,경영학과,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,3,6,1,2,2,2,3,6,8
D12,약학과,2,2,3,4,5,5,6,2,2,3,4,5,6,6,2,2,3,4,5,5,6,2,2,1,1,6,7,4,2,3,1,1,4,3,1
D13,사회학과,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,6,1,2,2,2,3,6,7
D14,경제학과,2,2,3,3,4,4,5,2,2,2,3,3,4,4,2,2,3,3,4,4,5,2,2,4,5,3,5,3,2,1,4,5,5,4,5
D15,생명과학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D16,미디어커뮤니케이션학과,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,6,1,2,2,2,3,6,7
D17,화학공학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D18,디자인학과,1,1,2,2,3,3,3,1,1,1,2,2,3,3,1,1,2,2,3,3,3,1,1,2,2,2,2,5,1,2,2,2,6,7,4
D19,식품영양학과,2,2,3,4,5,6,7,2,2,3,4,5,6,7,2,2,3,4,5,6,7,2,3,1,1,6,4,8,2,3,1,1,4,3,8
D20,간호학과,2,2,3,4,5,5,6,2,2,3,4,5,6,6,2,2,3,4,5,5,6,2,2,1,1,6,7,4,2,3,1,1,4,3,1
D21,전기전자공학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D22,사학과,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,4,3,1,1,2,2,2,3,2,2
D23,응용통계학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
D24,컴퓨터공학과,2,2,3,4,5,6,7,2,2,3,4,4,5,5,2,2,3,4,5,6,7,2,3,3,4,1,1,2,2,3,3,4,2,1,3
