department_id,department_name_ko,course_name_standardized,subject_group,assigned_weight,evidence_count,source_count,example_original,example_note
D01,건축학과,과학,과학,1.0,19,1,"국어, 사회, 과학, 기술·가정/교양","강원대
(삼척·도계) / 공학대학 / 도시건축학과(5년제) / match=high"
D01,건축학과,물리학,과학,1.0,23,1,"화법과 언어, 독서와 작문, 사회와 문화, 물리학, 기술․ 가정, 인간과 철학, 생태와 환경","강원대
(삼척·도계) / 공학대학 / 도시건축학과(5년제) / match=high"
D01,건축학과,물질과 에너지,과학,1.0,3,1,"기하, 미적분Ⅱ, 도시의 미래탐구, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전",광운대 / 공과대학 / 건축공학과 / match=medium
D01,건축학과,생명과학,과학,1.0,3,1,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 생명과학, 정보",광운대 / 공과대학 / 건축공학과 / match=medium
D01,건축학과,생물의 유전,과학,1.0,3,1,"기하, 미적분Ⅱ, 도시의 미래탐구, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전",광운대 / 공과대학 / 건축공학과 / match=medium
D01,건축학과,세포와 물질대사,과학,1.0,3,1,"기하, 미적분Ⅱ, 도시의 미래탐구, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전",광운대 / 공과대학 / 건축공학과 / match=medium
D01,건축학과,역학과 에너지,과학,1.0,7,1,"미적분Ⅱ, 역학과 에너지",고려대 / 공과대학 / 건축사회환경공학부 / match=medium
D01,건축학과,전자기와 양자,과학,1.0,1,1,"미적분Ⅱ, 기하, 물리학, 역학과 에너지, 전자기와 양자",중앙대 / 건축학부 / match=high
D01,건축학과,지구과학,과학,1.0,4,1,"국어, 영어, 수학(기하), 과학(지구과학, 물리, 화학)",서울시립대 / 건축학부 건축학전공 / match=high
D01,건축학과,화학,과학,1.0,13,1,"대수, 미적분Ⅰ, 확률과 통계, 물리학, 화학, 생명과학, 정보",광운대 / 공과대학 / 건축공학과 / match=medium
D01,건축학과,화학 반응의 세계,과학,1.0,3,1,"기하, 미적분Ⅱ, 도시의 미래탐구, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전",광운대 / 공과대학 / 건축공학과 / match=medium
D01,건축학과,국어,국어,1.0,6,1,"국어, 사회, 과학, 기술·가정/교양","강원대
(삼척·도계) / 공학대학 / 도시건축학과(5년제) / match=high"
D01,건축학과,독서와 작문,국어,1.0,2,1,"화법과 언어, 독서와 작문, 사회와 문화, 물리학, 기술․ 가정, 인간과 철학, 생태와 환경","강원대
(삼척·도계) / 공학대학 / 도시건축학과(5년제) / match=high"
D01,건축학과,화법과 언어,국어,1.0,2,1,"화법과 언어, 독서와 작문, 사회와 문화, 물리학, 기술․ 가정, 인간과 철학, 생태와 환경","강원대
(삼척·도계) / 공학대학 / 도시건축학과(5년제) / match=high"
D01,건축학과,미술,기타,1.0,1,1,"-일반선택: 화법과 언어, 독서와 작문, 대수, 미적분Ⅰ, 확률과 통계, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 물리학, 화학, 생명과학, 지구과학, 세계시민과 지리, 세계사, 사회와 문화, 미술, 정보, 생태와 환경 -진로선택: 직무 의사소통, 기하, 미적분Ⅱ, 직무 수학, 영어 발표와 토론, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전, 지구시스템과학, 한국지리 탐구, 도시의 미래 탐구, 동아시아 역사기행, 인공지능 기초, 미술 창작, 미술 감상과 비평, 인간과 철학, 논리와 사고, 인간과 심리",영남대 / 건설 / 건축학부 / match=high
D01,건축학과,인공지능,기타,1.0,2,1,"미적분, 기하, 물리학, 정보, 인공지능 기초","강원대
(춘천) / 문화예술·공과대학 / 건축공학과 / match=medium"
D01,건축학과,정보,기타,1.0,5,1,"미적분, 기하, 물리학, 정보, 인공지능 기초","강원대
(춘천) / 문화예술·공과대학 / 건축공학과 / match=medium"
D01,건축학과,사회,사회,1.0,7,1,"화법과 언어, 독서와 작문, 사회와 문화, 물리학, 기술․ 가정, 인간과 철학, 생태와 환경","강원대
(삼척·도계) / 공학대학 / 도시건축학과(5년제) / match=high"
D01,건축학과,역사,사회,1.0,2,1,"-일반선택: 화법과 언어, 독서와 작문, 대수, 미적분Ⅰ, 확률과 통계, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 물리학, 화학, 생명과학, 지구과학, 세계시민과 지리, 세계사, 사회와 문화, 미술, 정보, 생태와 환경 -진로선택: 직무 의사소통, 기하, 미적분Ⅱ, 직무 수학, 영어 발표와 토론, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전, 지구시스템과학, 한국지리 탐구, 도시의 미래 탐구, 동아시아 역사기행, 인공지능 기초, 미술 창작, 미술 감상과 비평, 인간과 철학, 논리와 사고, 인간과 심리",영남대 / 건설 / 건축학부 / match=high
D01,건축학과,지리,사회,1.0,1,1,"-일반선택: 화법과 언어, 독서와 작문, 대수, 미적분Ⅰ, 확률과 통계, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 물리학, 화학, 생명과학, 지구과학, 세계시민과 지리, 세계사, 사회와 문화, 미술, 정보, 생태와 환경 -진로선택: 직무 의사소통, 기하, 미적분Ⅱ, 직무 수학, 영어 발표와 토론, 역학과 에너지, 물질과 에너지, 화학 반응의 세계, 세포와 물질대사, 생물의 유전, 지구시스템과학, 한국지리 탐구, 도시의 미래 탐구, 동아시아 역사기행, 인공지능 기초, 미술 창작, 미술 감상과 비평, 인간과 철학, 논리와 사고, 인간과 심리",영남대 / 건설 / 건축학부 / match=high
D01,건축학과,기하,수학,1.0,16,1,"미적분, 기하, 물리학, 정보, 인공지능 기초","강원대
(춘천) / 문화예술·공과대학 / 건축공학과 / match=medium"
D01,건축학과,대수,수학,1.0,15,1,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",건국대 / 건축 / 건축대학 / match=medium
D01,건축학과,미적분,수학,1.0,26,1,"미적분, 기하, 물리학, 정보, 인공지능 기초","강원대
(춘천) / 문화예술·공과대학 / 건축공학과 / match=medium"
D01,건축학과,미적분Ⅰ,수학,1.0,12,1,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",건국대 / 건축 / 건축대학 / match=medium
D01,건축학과,미적분Ⅱ,수학,1.0,17,1,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",건국대 / 건축 / 건축대학 / match=medium
D01,건축학과,수학,수학,1.0,18,1,"수학, 과학, 기술·가정/정보","강원대
(춘천) / 문화예술·공과대학 / 건축공학과 / match=medium"
D01,건축학과,확률과 통계,수학,1.0,12,1,"수학(대수, 미적분Ⅰ, 미적분Ⅱ, 확률과 통계), 과학",건국대 / 건축 / 건축대학 / match=medium
D01,건축학과,영어,영어,1.0,11,1,"영어 독해와 작문, 영어 발표와 토론, 미적분, 물리학","강원대
(춘천) / 문화예술·공과대학 / 건축학과(5년제) / match=high"
D02,국어국문학과,과학,과학,1.0,2,1,"수학, 과학/사회",아주대 / 인문대학 / 국어국문학과 / match=high
D02,국어국문학과,국어,국어,1.0,11,1,"국어, 사회, 한문","강원대
(춘천) / 인문대학 / 국어국문학과 / match=high"
D02,국어국문학과,독서와 작문,국어,1.0,3,1,"화법과 언어, 독서와 작문, 문학, 세계사, 동아시아 역사기행, 한문, 한문 고전 읽기","강원대
(춘천) / 인문대학 / 국어국문학과 / match=high"
D02,국어국문학과,문학,국어,1.0,4,1,"화법과 언어, 독서와 작문, 문학, 세계사, 동아시아 역사기행, 한문, 한문 고전 읽기","강원대
(춘천) / 인문대학 / 국어국문학과 / match=high"
D02,국어국문학과,화법과 언어,국어,1.0,3,1,"화법과 언어, 독서와 작문, 문학, 세계사, 동아시아 역사기행, 한문, 한문 고전 읽기","강원대
(춘천) / 인문대학 / 국어국문학과 / match=high"
D02,국어국문학과,인공지능,기타,1.0,1,1,"-일반선택: 화법과 언어, 독서와 작문, 문학, 확률과 통계, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 세계시민과 지리, 세계사, 사회와 문화, 현대사회와 윤리, 제2외국어 관련 과목, 한문, 진로와 직업 -진로선택: 주제 탐구 독서, 문학과 영상, 직무 의사소통, 영미 문학 읽기, 영어 발표와 토론, 심화 영어, 심화 영어 독해와 작문, 직무 영어, 도시의 미래 탐구, 동아시아 역사 기행, 정치, 법과 사회, 윤리와 사상, 인문학과 윤리, 국제 관계의 이해, 생활과학 탐구, 인공지능 기초, 제2외국어 관련 과목: 한문 고전 읽기, 인간과 철학, 논리와 사고",영남대 / 언어·문학 / 국어국문학과 / match=high
D02,국어국문학과,사회,사회,1.0,11,1,인문사회계열 진로 및 적성을 고려하여 교과목 선택 이수,가톨릭대 / 국어국문학과 / match=high
D02,국어국문학과,역사,사회,1.0,4,1,"화법과 언어, 독서와 작문, 문학, 세계사, 동아시아 역사기행, 한문, 한문 고전 읽기","강원대
(춘천) / 인문대학 / 국어국문학과 / match=high"
D02,국어국문학과,윤리,사회,1.0,3,1,"화법과 언어, 독서와 작문, 문학, 대수, 미적분Ⅰ, 확률과 통계, 사회와 문화, 현대사회와 윤리, 한문, 제2외국어 과목",광운대 / 인문사회과학대학 / 국어국문학과 / match=high
D02,국어국문학과,일반사회,사회,0.5,1,1,"역사, 일반사회, 한문",동국대 / 문과 / 국어국문·문예창작학부 / match=high
D02,국어국문학과,지리,사회,1.0,1,1,"-일반선택: 화법과 언어, 독서와 작문, 문학, 확률과 통계, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 세계시민과 지리, 세계사, 사회와 문화, 현대사회와 윤리, 제2외국어 관련 과목, 한문, 진로와 직업 -진로선택: 주제 탐구 독서, 문학과 영상, 직무 의사소통, 영미 문학 읽기, 영어 발표와 토론, 심화 영어, 심화 영어 독해와 작문, 직무 영어, 도시의 미래 탐구, 동아시아 역사 기행, 정치, 법과 사회, 윤리와 사상, 인문학과 윤리, 국제 관계의 이해, 생활과학 탐구, 인공지능 기초, 제2외국어 관련 과목: 한문 고전 읽기, 인간과 철학, 논리와 사고",영남대 / 언어·문학 / 국어국문학과 / match=high
D02,국어국문학과,대수,수학,1.0,1,1,"화법과 언어, 독서와 작문, 문학, 대수, 미적분Ⅰ, 확률과 통계, 사회와 문화, 현대사회와 윤리, 한문, 제2외국어 과목",광운대 / 인문사회과학대학 / 국어국문학과 / match=high
D02,국어국문학과,미적분,수학,1.0,1,1,"화법과 언어, 독서와 작문, 문학, 대수, 미적분Ⅰ, 확률과 통계, 사회와 문화, 현대사회와 윤리, 한문, 제2외국어 과목",광운대 / 인문사회과학대학 / 국어국문학과 / match=high
D02,국어국문학과,미적분Ⅰ,수학,1.0,1,1,"화법과 언어, 독서와 작문, 문학, 대수, 미적분Ⅰ, 확률과 통계, 사회와 문화, 현대사회와 윤리, 한문, 제2외국어 과목",광운대 / 인문사회과학대학 / 국어국문학과 / match=high
D02,국어국문학과,수학,수학,1.0,1,1,"수학, 과학/사회",아주대 / 인문대학 / 국어국문학과 / match=high
D02,국어국문학과,확률과 통계,수학,1.0,2,1,"화법과 언어, 독서와 작문, 문학, 대수, 미적분Ⅰ, 확률과 통계, 사회와 문화, 현대사회와 윤리, 한문, 제2외국어 과목",광운대 / 인문사회과학대학 / 국어국문학과 / match=high
D02,국어국문학과,영어,영어,1.0,5,1,"주제 탐구 독서, 문학과 영상, 영미 문학 읽기, 영어 발표와 토론, 윤리와 사상, 인문학과 윤리",광운대 / 인문사회과학대학 / 국어국문학과 / match=high
D03,심리학과,과학,과학,1.0,1,1,"대수, 미적분Ⅰ, 확률과 통계, 과학/사회",아주대 / 사회과학대학 / 심리학과 / match=high
D03,심리학과,물리학,과학,0.5,1,1,영남대,대표모집단위=심리 / match=medium
D03,심리학과,국어,국어,1.0,12,2,강원대(춘천),대표모집단위=심리 / match=medium
D03,심리학과,독서와 작문,국어,1.0,4,1,"화법과 언어, 독서와 작문, 영어 독해와 작문, 영어 발표와 토론, 확률과 통계, 사회와 문화","강원대
(춘천) / 사회과학대학 / 심리학과 / match=high"
D03,심리학과,문학,국어,1.0,3,1,"화법과 언어, 독서와 작문, 문학, 대수, 미적분Ⅰ, 확률과 통계, 사회와 문화, 현대사회와 윤리, 한문, 제2외국어 과목",광운대 / 인문사회과학대학 / 산업심리학과 / match=high
D03,심리학과,화법과 언어,국어,1.0,4,1,"화법과 언어, 독서와 작문, 영어 독해와 작문, 영어 발표와 토론, 확률과 통계, 사회와 문화","강원대
(춘천) / 사회과학대학 / 심리학과 / match=high"
D03,심리학과,인공지능,기타,1.0,1,1,"-일반선택: 화법과 언어, 독서와 작문, 문학, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 세계시민과 지리, 세계사, 사회와 문화, 현대사회와 윤리 -진로선택: 주제 탐구 독서, 문학과 영상, 직무 의사소통, 영어 발표와 토론, 심화 영어, 심화 영어 독해와 작문, 직무 영어, 한국지리 탐구, 도시의 미래 탐구, 동아시아 역사 기행, 정치, 법과 사회, 경제, 윤리와 사상, 인문학과 윤리, 국제 관계의 이해, 인공지능 기초, 인간과 철학, 논리와 사고, 삶과 종교",영남대 / 사회과학 / 심리학과 / match=high
D03,심리학과,경제,사회,1.0,1,1,"-일반선택: 화법과 언어, 독서와 작문, 문학, 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문, 세계시민과 지리, 세계사, 사회와 문화, 현대사회와 윤리 -진로선택: 주제 탐구 독서, 문학과 영상, 직무 의사소통, 영어 발표와 토론, 심화 영어, 심화 영어 독해와 작문, 직무 영어, 한국지리 탐구, 도시의 미래 탐구, 동아시아 역사 기행, 정치, 법과 사회, 경제, 윤리와 사상, 인문학과 윤리, 국제 관계의 이해, 인공지능 기초, 인간과 철학, 논리와 사고, 삶과 종교",영남대 / 사회과학 / 심리학과 / match=high
