department_id,department_name_ko,representative_score_mean,representative_score_median,university_count,score_record_count
D01,건축학과,3.320329365079365,3.1005000000000003,84,84
D02,국어국문학과,3.1571627906976745,2.96,43,43
D03,심리학과,3.567076923076923,3.25,52,52
D04,기계공학과,3.5164385964912284,3.2,57,57
D05,화학과,2.994089285714286,2.7085,56,56
D06,산업공학과,3.3986666666666667,3.05,15,15
D07,신소재공학과,3.2532258064516126,2.84,31,31
D08,조선해양공학과,4.694444444444445,4.25,9,9
D09,의예과,2.0024456140350875,1.28,57,57
D10,수학과,3.0198095238095237,2.665,42,42
D11,경영학과,3.4495202492211834,3.2,107,107
D12,약학과,1.5981136363636361,1.32,44,44
D13,사회학과,2.8282142857142856,2.7649999999999997,28,28
D14,경제학과,2.994782608695652,2.93,46,46
D15,생명과학과,3.1942777777777778,3.395,36,36
D16,미디어커뮤니케이션학과,2.83140625,2.77,32,32
D17,화학공학과,2.982820512820513,2.54,39,39
D18,디자인학과,3.7312828396551727,3.705,58,58
D19,식품영양학과,3.6041311475409836,3.65,61,61
D20,간호학과,2.8895842592592595,2.56155,108,108
D21,전기전자공학과,3.54585,3.335,60,60
D22,사학과,3.6134328358208956,3.5,67,67
D23,응용통계학과,2.9251851851851853,2.73,27,27
D24,컴퓨터공학과,3.305633333333333,3.145,60,60
