department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D01,건축학과,D16,미디어커뮤니케이션학과,0.060522753266880246,0.060522753266880246,,,
D04,기계공학과,D13,사회학과,0.05923488777590926,0.05923488777590926,,,
D13,사회학과,D21,전기전자공학과,0.05923488777590926,0.05923488777590926,,,
D02,국어국문학과,D06,산업공학과,0.05773502691896258,0.05773502691896258,,,
D13,사회학과,D24,컴퓨터공학과,0.05773502691896258,0.05773502691896258,,,
D20,간호학과,D24,컴퓨터공학과,0.05773502691896258,0.05773502691896258,,,
D13,사회학과,D25,자동차공학과,0.0563436169819011,0.0563436169819011,,,
D01,건축학과,D02,국어국문학과,0.0563436169819011,0.0563436169819011,,,
D15,생명과학과,D22,사학과,0.0,0.0,,,
D02,국어국문학과,D04,기계공학과,0.0,0.0,,,
D02,국어국문학과,D05,화학과,0.0,0.0,,,
D02,국어국문학과,D07,신소재공학과,0.0,0.0,,,
D02,국어국문학과,D17,화학공학과,0.0,0.0,,,
D02,국어국문학과,D08,조선해양공학과,0.0,0.0,,,
D10,수학과,D22,사학과,0.0,0.0,,,
D10,수학과,D16,미디어커뮤니케이션학과,0.0,0.0,,,
D02,국어국문학과,D15,생명과학과,0.0,0.0,,,
D17,화학공학과,D22,사학과,0.0,0.0,,,
D22,사학과,D25,자동차공학과,0.0,0.0,,,
D21,전기전자공학과,D22,사학과,0.0,0.0,,,
D08,조선해양공학과,D22,사학과,0.0,0.0,,,
D02,국어국문학과,D24,컴퓨터공학과,0.0,0.0,,,
D02,국어국문학과,D25,자동차공학과,0.0,0.0,,,
D07,신소재공학과,D22,사학과,0.0,0.0,,,
D22,사학과,D24,컴퓨터공학과,0.0,0.0,,,
D05,화학과,D22,사학과,0.0,0.0,,,
D04,기계공학과,D22,사학과,0.0,0.0,,,
D02,국어국문학과,D21,전기전자공학과,0.0,0.0,,,
D18,디자인학과,D20,간호학과,0.0,0.0,,,
D02,국어국문학과,D10,수학과,0.0,0.0,,,
