department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D05,화학과,D17,화학공학과,1.0,1.0,,,
D11,경영학과,D14,경제학과,0.9999999999999999,0.9999999999999999,,,
D04,기계공학과,D25,자동차공학과,0.9511897312113419,0.9511897312113419,,,
D04,기계공학과,D21,전기전자공학과,0.9473684210526324,0.9473684210526324,,,
D05,화학과,D07,신소재공학과,0.9375,0.9375,,,
D07,신소재공학과,D17,화학공학과,0.9375,0.9375,,,
D07,신소재공학과,D15,생명과학과,0.9036961141150638,0.9036961141150638,,,
D21,전기전자공학과,D25,자동차공학과,0.901127113779166,0.901127113779166,,,
D08,조선해양공학과,D17,화학공학과,0.8838834764831842,0.8838834764831842,,,
D05,화학과,D08,조선해양공학과,0.8838834764831842,0.8838834764831842,,,
D07,신소재공학과,D08,조선해양공학과,0.8838834764831842,0.8838834764831842,,,
D05,화학과,D15,생명과학과,0.8391463916782735,0.8391463916782735,,,
D15,생명과학과,D17,화학공학과,0.8391463916782735,0.8391463916782735,,,
D04,기계공학과,D17,화학공학과,0.8029550685469666,0.8029550685469666,,,
D04,기계공학과,D05,화학과,0.8029550685469666,0.8029550685469666,,,
D09,의예과,D12,약학과,0.8006407690254359,0.8006407690254359,,,
D08,조선해양공학과,D15,생명과학과,0.7911548052852398,0.7911548052852398,,,
D24,컴퓨터공학과,D25,자동차공학과,0.7807200583588263,0.7807200583588263,,,
D05,화학과,D25,자동차공학과,0.7637626158259729,0.7637626158259729,,,
D17,화학공학과,D25,자동차공학과,0.7637626158259729,0.7637626158259729,,,
D08,조선해양공학과,D21,전기전자공학과,0.7570332986102256,0.7570332986102256,,,
D04,기계공학과,D08,조선해양공학과,0.7570332986102256,0.7570332986102256,,,
D05,화학과,D21,전기전자공학과,0.7456011350793261,0.7456011350793261,,,
D04,기계공학과,D07,신소재공학과,0.7456011350793261,0.7456011350793261,,,
D17,화학공학과,D21,전기전자공학과,0.7456011350793261,0.7456011350793261,,,
D10,수학과,D23,응용통계학과,0.7205766921228923,0.7205766921228923,,,
D08,조선해양공학과,D25,자동차공학과,0.7200822998230956,0.7200822998230956,,,
D21,전기전자공학과,D24,컴퓨터공학과,0.7181848464596081,0.7181848464596081,,,
D04,기계공학과,D24,컴퓨터공학과,0.7181848464596081,0.7181848464596081,,,
D09,의예과,D15,생명과학과,0.7161148740394331,0.7161148740394331,,,
D15,생명과학과,D19,식품영양학과,0.710046946804693,0.710046946804693,,,
D07,신소재공학과,D25,자동차공학과,0.7092081432669749,0.7092081432669749,,,
D07,신소재공학과,D09,의예과,0.6933752452815366,0.6933752452815366,,,
D07,신소재공학과,D21,전기전자공학과,0.6882472016116856,0.6882472016116856,,,
D07,신소재공학과,D19,식품영양학과,0.6875,0.6875,,,
D10,수학과,D24,컴퓨터공학과,0.6821910402406467,0.6821910402406467,,,
D12,약학과,D20,간호학과,0.670820393249937,0.670820393249937,,,
D04,기계공학과,D15,생명과학과,0.6515837655350017,0.6515837655350017,,,
D06,산업공학과,D24,컴퓨터공학과,0.65,0.65,,,
D09,의예과,D20,간호학과,0.6445033866354898,0.6445033866354898,,,
D17,화학공학과,D19,식품영양학과,0.625,0.625,,,
D05,화학과,D19,식품영양학과,0.625,0.625,,,
D10,수학과,D17,화학공학과,0.6240377207533829,0.6240377207533829,,,
D05,화학과,D09,의예과,0.6240377207533829,0.6240377207533829,,,
D05,화학과,D10,수학과,0.6240377207533829,0.6240377207533829,,,
D09,의예과,D17,화학공학과,0.6240377207533829,0.6240377207533829,,,
D07,신소재공학과,D10,수학과,0.6240377207533829,0.6240377207533829,,,
D15,생명과학과,D25,자동차공학과,0.6197797868009123,0.6197797868009123,,,
D01,건축학과,D15,생명과학과,0.619779786800912,0.619779786800912,,,
D01,건축학과,D08,조선해양공학과,0.6172133998483676,0.6172133998483676,,,
D10,수학과,D25,자동차공학과,0.6052275326688025,0.6052275326688025,,,
D01,건축학과,D05,화학과,0.6000991981489788,0.6000991981489788,,,
D01,건축학과,D17,화학공학과,0.6000991981489788,0.6000991981489788,,,
D01,건축학과,D07,신소재공학과,0.6000991981489788,0.6000991981489788,,,
D12,약학과,D15,생명과학과,0.596284793999944,0.596284793999944,,,
D15,생명과학과,D21,전기전자공학과,0.5923488777590925,0.5923488777590925,,,
D08,조선해양공학과,D19,식품영양학과,0.5892556509887896,0.5892556509887896,,,
D08,조선해양공학과,D09,의예과,0.5883484054145524,0.5883484054145524,,,
D08,조선해양공학과,D10,수학과,0.5883484054145524,0.5883484054145524,,,
D06,산업공학과,D25,자동차공학과,0.5855400437691198,0.5855400437691198,,,
D23,응용통계학과,D24,컴퓨터공학과,0.5809475019311126,0.5809475019311126,,,
D06,산업공학과,D23,응용통계학과,0.5809475019311126,0.5809475019311126,,,
D07,신소재공학과,D12,약학과,0.5773502691896258,0.5773502691896258,,,
D04,기계공학과,D19,식품영양학과,0.5735393346764046,0.5735393346764046,,,
D04,기계공학과,D06,산업공학과,0.5642880936468349,0.5642880936468349,,,
D06,산업공학과,D21,전기전자공학과,0.5642880936468349,0.5642880936468349,,,
D05,화학과,D24,컴퓨터공학과,0.5590169943749475,0.5590169943749475,,,
D17,화학공학과,D24,컴퓨터공학과,0.5590169943749475,0.5590169943749475,,,
D09,의예과,D19,식품영양학과,0.5547001962252293,0.5547001962252293,,,
D01,건축학과,D21,전기전자공학과,0.5506887917539348,0.5506887917539348,,,
D01,건축학과,D04,기계공학과,0.5506887917539348,0.5506887917539348,,,
D19,식품영양학과,D25,자동차공학과,0.5455447255899808,0.5455447255899808,,,
D03,심리학과,D13,사회학과,0.5449492609130662,0.5449492609130662,,,
D08,조선해양공학과,D24,컴퓨터공학과,0.5270462766947299,0.5270462766947299,,,
D01,건축학과,D25,자동차공학과,0.5238095238095236,0.5238095238095236,,,
D19,식품영양학과,D21,전기전자공학과,0.5161854012087641,0.5161854012087641,,,
D10,수학과,D21,전기전자공학과,0.5090278103806224,0.5090278103806224,,,
D04,기계공학과,D10,수학과,0.5090278103806224,0.5090278103806224,,,
D19,식품영양학과,D23,응용통계학과,0.5051814855409226,0.5051814855409226,,,
D12,약학과,D17,화학공학과,0.5051814855409226,0.5051814855409226,,,
D12,약학과,D19,식품영양학과,0.5051814855409226,0.5051814855409226,,,
D05,화학과,D12,약학과,0.5051814855409226,0.5051814855409226,,,
D23,응용통계학과,D25,자동차공학과,0.5039526306789696,0.5039526306789696,,,
D07,신소재공학과,D24,컴퓨터공학과,0.5031152949374527,0.5031152949374527,,,
D10,수학과,D15,생명과학과,0.5012804118276032,0.5012804118276032,,,
D01,건축학과,D10,수학과,0.4841820261350419,0.4841820261350419,,,
D06,산업공학과,D14,경제학과,0.48193159734149943,0.48193159734149943,,,
D06,산업공학과,D11,경영학과,0.48193159734149943,0.48193159734149943,,,
D08,조선해양공학과,D12,약학과,0.47628967220784024,0.47628967220784024,,,
D13,사회학과,D22,사학과,0.46666666666666684,0.46666666666666684,,,
D15,생명과학과,D20,간호학과,0.46666666666666684,0.46666666666666684,,,
D07,신소재공학과,D20,간호학과,0.45184805705753206,0.45184805705753206,,,
D19,식품영양학과,D20,간호학과,0.45184805705753206,0.45184805705753206,,,
D11,경영학과,D16,미디어커뮤니케이션학과,0.44832193324804637,0.44832193324804637,,,
D14,경제학과,D16,미디어커뮤니케이션학과,0.44832193324804637,0.44832193324804637,,,
D15,생명과학과,D23,응용통계학과,0.4472135954999581,0.4472135954999581,,,
D06,산업공학과,D19,식품영양학과,0.4472135954999579,0.4472135954999579,,,
D04,기계공학과,D09,의예과,0.4453993340830446,0.4453993340830446,,,
D01,건축학과,D06,산업공학과,0.43915503282683993,0.43915503282683993,,,
D01,건축학과,D19,식품영양학과,0.43643578047198467,0.43643578047198467,,,
D06,산업공학과,D10,수학과,0.43412157106222965,0.43412157106222965,,,
D07,신소재공학과,D23,응용통계학과,0.43301270189221935,0.43301270189221935,,,
D05,화학과,D23,응용통계학과,0.43301270189221935,0.43301270189221935,,,
D17,화학공학과,D23,응용통계학과,0.43301270189221935,0.43301270189221935,,,
D13,사회학과,D16,미디어커뮤니케이션학과,0.42966892442365984,0.42966892442365984,,,
D08,조선해양공학과,D20,간호학과,0.4260064336151293,0.4260064336151293,,,
D01,건축학과,D09,의예과,0.4236592728681617,0.4236592728681617,,,
D09,의예과,D25,자동차공학과,0.4236592728681617,0.4236592728681617,,,
D03,심리학과,D16,미디어커뮤니케이션학과,0.4181210050035455,0.4181210050035455,,,
D14,경제학과,D23,응용통계학과,0.41478067789217027,0.41478067789217027,,,
D11,경영학과,D23,응용통계학과,0.41478067789217027,0.41478067789217027,,,
D08,조선해양공학과,D23,응용통계학과,0.4082482904638631,0.4082482904638631,,,
D15,생명과학과,D24,컴퓨터공학과,0.40414518843273806,0.40414518843273806,,,
D21,전기전자공학과,D23,응용통계학과,0.39735970711951335,0.39735970711951335,,,
D04,기계공학과,D23,응용통계학과,0.39735970711951335,0.39735970711951335,,,
D05,화학과,D06,산업공학과,0.3913118960624632,0.3913118960624632,,,
D06,산업공학과,D17,화학공학과,0.3913118960624632,0.3913118960624632,,,
