department_id,department_name_ko,broad_category,boundary_flag,include_in_cardsort,note
D01,건축학과,공학/예체능,1,1,공학과 디자인/설계 경계
D02,국어국문학과,인문,0,1,
D03,심리학과,사회/인문,1,1,사회과학과 인문 경계
D04,기계공학과,공학,0,1,
D05,화학과,자연,1,1,화학공학/약학과 비교 중요
D06,산업공학과,공학/경영,1,1,공학과 경영/데이터 경계
D07,신소재공학과,공학,1,1,화학/물리 기반 공학
D08,조선해양공학과,공학,0,1,지역 산업 맥락
D09,의예과,의약,0,1,
D10,수학과,자연,1,1,통계/컴공/산공과 연결
D11,경영학과,사회,0,1,
D12,약학과,의약/자연,1,1,화학/생명 기반 의약
D13,사회학과,사회,0,1,
D14,경제학과,사회,1,1,경영/통계와 연결
D15,생명과학과,자연,1,1,약학/간호/식품영양과 연결
D16,미디어커뮤니케이션학과,사회/인문,1,1,
D17,화학공학과,공학/자연,1,1,화학과 비교 중요
D18,디자인학과,예체능,1,1,건축/미디어와 경계
D19,식품영양학과,자연/보건,1,1,생명/간호와 연결
D20,간호학과,의약/보건,1,1,
D21,전기전자공학과,공학,0,1,
D22,사학과,인문,0,1,
D23,응용통계학과,자연/사회,1,1,수학/경제/산공과 연결
D24,컴퓨터공학과,공학,1,1,수학/산공/전기전자와 연결

