A,B,idf_cosine,co_classification,divergence,type
기계공학과,화학과,0.577,0.0,2.71,internalO_externalX
화학과,조선해양공학과,0.534,0.0,2.485,internalO_externalX
화학과,화학공학과,1.0,0.5,2.462,internalO_externalX
신소재공학과,의예과,0.526,0.0,2.443,internalO_externalX
신소재공학과,생명과학과,0.658,0.143,2.43,internalO_externalX
화학과,자동차공학과,0.511,0.0,2.365,internalO_externalX
화학과,전기전자공학과,0.459,0.0,2.093,internalO_externalX
수학과,자동차공학과,0.424,0.0,1.911,internalO_externalX
의예과,화학공학과,0.371,0.0,1.634,internalO_externalX
신소재공학과,약학과,0.368,0.0,1.618,internalO_externalX
생명과학과,화학공학과,0.49,0.143,1.553,internalO_externalX
수학과,화학공학과,0.349,0.0,1.519,internalO_externalX
신소재공학과,수학과,0.341,0.0,1.477,internalO_externalX
화학과,신소재공학과,0.801,0.5,1.423,internalO_externalX
조선해양공학과,생명과학과,0.32,0.0,1.368,internalO_externalX
건축학과,사회학과,0.32,0.0,1.368,internalO_externalX
산업공학과,미디어커뮤니케이션학과,0.316,0.0,1.347,internalO_externalX
산업공학과,자동차공학과,0.446,0.143,1.323,internalO_externalX
화학과,의예과,0.371,0.071,1.285,internalO_externalX
기계공학과,식품영양학과,0.304,0.0,1.284,internalO_externalX
화학과,컴퓨터공학과,0.297,0.0,1.248,internalO_externalX
응용통계학과,자동차공학과,0.291,0.0,1.216,internalO_externalX
신소재공학과,간호학과,0.349,0.071,1.17,internalO_externalX
심리학과,간호학과,0.27,0.0,1.107,internalO_externalX
식품영양학과,자동차공학과,0.269,0.0,1.102,internalO_externalX
조선해양공학과,화학공학과,0.534,0.286,1.08,internalO_externalX
수학과,컴퓨터공학과,0.398,0.143,1.073,internalO_externalX
신소재공학과,식품영양학과,0.389,0.143,1.026,internalO_externalX
약학과,화학공학과,0.244,0.0,0.971,internalO_externalX
조선해양공학과,의예과,0.242,0.0,0.961,internalO_externalX
기계공학과,화학공학과,0.577,0.357,0.956,internalO_externalX
국어국문학과,디자인학과,0.241,0.0,0.955,internalO_externalX
식품영양학과,전기전자공학과,0.239,0.0,0.945,internalO_externalX
기계공학과,생명과학과,0.235,0.0,0.924,internalO_externalX
조선해양공학과,수학과,0.227,0.0,0.882,internalO_externalX
건축학과,생명과학과,0.359,0.143,0.869,internalO_externalX
사회학과,간호학과,0.215,0.0,0.82,internalO_externalX
디자인학과,컴퓨터공학과,0.209,0.0,0.788,internalO_externalX
생명과학과,자동차공학과,0.208,0.0,0.783,internalO_externalX
기계공학과,수학과,0.205,0.0,0.767,internalO_externalX
산업공학과,식품영양학과,0.202,0.0,0.752,internalO_externalX
건축학과,화학공학과,0.201,0.0,0.747,internalO_externalX
건축학과,신소재공학과,0.197,0.0,0.726,internalO_externalX
조선해양공학과,간호학과,0.192,0.0,0.7,internalO_externalX
의예과,식품영양학과,0.258,0.071,0.695,internalO_externalX
기계공학과,간호학과,0.189,0.0,0.684,internalO_externalX
신소재공학과,조선해양공학과,0.522,0.357,0.669,internalO_externalX
경영학과,컴퓨터공학과,0.186,0.0,0.668,internalO_externalX
경제학과,컴퓨터공학과,0.186,0.0,0.668,internalO_externalX
미디어커뮤니케이션학과,디자인학과,0.181,0.0,0.642,internalO_externalX
건축학과,조선해양공학과,0.315,0.143,0.639,internalO_externalX
화학과,약학과,0.244,0.071,0.622,internalO_externalX
산업공학과,사회학과,0.311,0.143,0.618,internalO_externalX
수학과,전기전자공학과,0.176,0.0,0.616,internalO_externalX
화학공학과,자동차공학과,0.511,0.357,0.611,internalO_externalX
생명과학과,전기전자공학과,0.172,0.0,0.595,internalO_externalX
디자인학과,사학과,0.17,0.0,0.585,internalO_externalX
조선해양공학과,식품영양학과,0.169,0.0,0.579,internalO_externalX
간호학과,자동차공학과,0.167,0.0,0.569,internalO_externalX
화학과,산업공학과,0.166,0.0,0.564,internalO_externalX
화학과,간호학과,0.23,0.071,0.549,internalO_externalX
화학공학과,간호학과,0.23,0.071,0.549,internalO_externalX
기계공학과,전기전자공학과,0.834,0.714,0.544,internalO_externalX
조선해양공학과,약학과,0.159,0.0,0.527,internalO_externalX
기계공학과,의예과,0.158,0.0,0.522,internalO_externalX
기계공학과,자동차공학과,0.886,0.786,0.462,internalO_externalX
산업공학과,경제학과,0.279,0.143,0.451,internalO_externalX
산업공학과,경영학과,0.279,0.143,0.451,internalO_externalX
의예과,자동차공학과,0.14,0.0,0.428,internalO_externalX
전기전자공학과,자동차공학과,0.739,0.643,0.397,internalO_externalX
의예과,사회학과,0.131,0.0,0.381,internalO_externalX
약학과,식품영양학과,0.195,0.071,0.366,internalO_externalX
화학공학과,식품영양학과,0.26,0.143,0.352,internalO_externalX
