tier,course,document_frequency,idf,recommending
high_discriminative,과학의 역사와 문화,1,3.219,건축학과
high_discriminative,교육의 이해,1,3.219,심리학과
high_discriminative,논리와 사고,1,3.219,국어국문학과
high_discriminative,미디어 영어,1,3.219,디자인학과
high_discriminative,생활과학 탐구,1,3.219,식품영양학과
high_discriminative,화학 실험,1,3.219,약학과
low_discriminative,확률과 통계,21,0.174,공통(21개 학과)
low_discriminative,대수,17,0.386,공통(17개 학과)
low_discriminative,정보,16,0.446,공통(16개 학과)
low_discriminative,기하,15,0.511,공통(15개 학과)
low_discriminative,미적분Ⅰ,15,0.511,공통(15개 학과)
