linkage,alpha,silhouette_cosine,ari_vs_binary,cluster_sizes
average,0.0,0.3322,1.0,17|6|1|1
average,0.25,0.3261,0.94,17|4|2|2
average,0.5,0.2514,0.8202,16|4|3|2
average,0.75,0.2662,0.94,17|4|2|2
average,1.0,0.2378,0.94,17|4|2|2
average,1.25,0.1686,0.7138,14|6|3|2
average,1.5,0.1631,0.7137,15|4|4|2
average,1.75,0.145,0.7138,14|6|3|2
average,2.0,0.1646,0.5609,13|7|3|2
complete,0.0,0.2779,1.0,13|6|4|2
complete,0.25,0.2351,0.9471,13|5|4|3
complete,0.5,0.2124,0.8788,13|4|4|4
complete,0.75,0.2116,0.3492,10|7|4|4
complete,1.0,0.1916,0.3492,10|7|4|4
complete,1.25,0.1549,0.8788,13|4|4|4
complete,1.5,0.1542,0.3492,10|7|4|4
complete,1.75,0.139,0.3492,10|7|4|4
complete,2.0,0.1083,0.595,13|6|4|2
